car,score,content,is_negative,input_negative
2026 메르세데스-벤츠 GLE 쿠페,9.83,연비 승차감 디자인 실내 공간 특히 2열 공간 매우 넓음 그 외 벤츠 e클래스 다운 편의사항 대부분을 누릴수 있음,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.0,"GLE450 23년4월구매했는데 요즘, 주행중에 뒷쪽에서 소음이 좀있어요 서스펜션 시스템에 문제가 있는것처럼 다른분들도 그러신지요",True,True
2026 메르세데스-벤츠 GLE 쿠페,9.33,"고속도로 직선 100km 이상에서 1,2열 승차감 만족도 매우 높습니다. 힘 넘치네요. 다만 고속주행에서 코너링이 약하고 가끔 터보렉이 있지만 벤츠라 용서 됩니다. 스피커 좋고 2열 레그룸 굿이고 밤에 엠비언트라이트 굿이에요. 연비는 조금 아쉽지만 다른 부분들이 만족스럽습니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,전반적으로 만족하며 잘타고있어욤 스타트도 빠르고 고속도로 정속주행 연비 아주좋아요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,다좋습니다. 가격만사악하죠ㅜㅠ 연비 디자인 승차감 하차감 뭐하나빠지는게없습니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,x5 40i하고 비교하다 bmw하고 고급스러움 차이가 확연하여 gle450으로 왔습니다. 에어서스덕에 승차감 정말 좋습니다. 롤링이 있긴 하지만 신경쓰일 정도는 아닙니다. 연비는 마일드하이브리드 덕택에 고급유 넣음에도 굉장히 만족하고 타고 있습니다. 뒷좌석은 동급대비 가장 넓어서 선택하는데도 한몫했지만 1억3천짜리에 썬블라이드 수동조차 없는건 진짜 욕하고 싶네요.. 전동은 바라지도 않았는데.... 근데 차의 디자인이나 웅장함 때문에 완전 만족하고 탑니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,"첫 눈에 반해 1년 넘도록 기다려 23년식을 타고 있는데 페이스리프트보다 예뻐보여요. 9단미션의 저속 꿀렁거림은 여전하지만 승차감, 정숙성, 공간감은 매우 만족합니다. 큰차라서 연비는 별 기대하지 않았지만 그래도 도심 8~9 / 고속 13~15 나와서 더욱 만족하구 있습니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,가격은비싼편이지만 엔진성능 승차감좋아요 아쉬움이 있다면 편의사항이 가격에 비해 부족하다는 느낌이 드네요 연비는생각보다 잘나오는 듯 합니다 잘타고있어요~^^,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,잘 선택했습니다. 하차감 좋습니다. 강력히 추천합니다. 연비가 고속도로 16키로 넘었습니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,"24년식 기준, 한 달 타보고 느낀 점. 1. 반자율이 생각보다 잘 됨 편함., 2. 연비좋음 만땅시 에코모드 + 발컨이면 1200km 감, 3. 정숙성 디젤인데 조용함 안에서는 밖에서는 시끄러울 수도. 여튼 내부에서는 생각보다 조용함 지인들 타면 가솔린인줄 함, 단 저속에서 가속시에 소음있음. 대충 20~40km?정도 달릴 때 소음발생), 4. 무선 안드로이드오토, 5. 부메스터스피커 좋음 6. 공간 넓음 특히 2열은 충분히 넓음. 7. 파워클로징 기대안했는데 좋음. 8. 제네시스 고민하다 GLE구매했는데 GV80대비 옵션/내부마간이 떨어짐 그래도 이거 사길 잘한 것 같음. 만족하면서 잘 타는 중",True,True
2026 메르세데스-벤츠 GLE 쿠페,9.33,가격을 제외하고 너무 좋은차입니다. 특히 연비가 너무 좋습니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,연비는 생각보다 잘 나옵니다 마일드하이브리드가 한 몫을 하네요 실내 승차감도 매우 좋고 공간도 넓게 잘 나왔습니다 주행 역시 고급스럽고 안락하니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,전체적으로 가격빼곤 만족스럽다 공차2.5톤치고 연비나 가속능력도 괜찮음 마감도 잘되어있고 고급스러움,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,우월한 자동성능 드라이브. 승차감 좋은에어서스. 정차시 조용한 마일드하이브리드. 디젤의 엔진소리도 좋아요. 무엇보다 우수한연비 광양 섬진강 왕복 16km/l 말이 됩니까?,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,"전반적으로 굿입니다 크게 부족한 부분은 없지만 역시 벤츠의 고질병이라고 할 수 있는 9단미션 특히나 저단미션에서의 허당스러움은 처음에는 진짜 적응하기 힘들었지만 지금은 또 그냥저냥 만족하고 타고 있지만 다음에는 9단 미션 벤츠는 확실한 개선점이 안 보인다면 무조건, pass할 예정입니다",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,외관 성능 다 좋습니다. 다만 디젤이라 엔진소음이 개선되었다고는 하지만 여전하네요...그것빼고는 튼튼하고 잘나가고 연비도 좋고 만족합니다.,True,True
2026 메르세데스-벤츠 GLE 쿠페,10.0,"시내주행 연비 13.3km 디젤엔진의 정숙성 편안함 도로에 나오면 이목집중 디자인 풍절음, 잡소리 0에 수렴 주행감 넘치는 레이싱 하고싶으면 x6 일상적이고 댄디하게 타고싶으면 gle쿠페",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,예쁘고 품질 좋고 힘 좋고 연비 준수하고 실내도 넓어서 가족들도 만족합니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,"주행성능 대단히 우수히고 거주섬도 매우 좋다. 또한 품질과 디자인 면에서 매우 만족스럽다. 연비도 생각보다 좋은데, 이는 마일드 하이브리드 기능이 부가된 때문으로 생각된다. 준 벤츠S클라스급으로 가성비면에서도 탁월하다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,성능 디자인 만족스럽고 마일드하이브리드엔진 때문에 연비도 괜찮은 것 같습니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,디자아부터 실용성까지 아주 만족합니다! 실내는 엄청 넓고 조용합니다 연비는 케바케,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.67,디자인만 마음에 드신다면 나머지부분은 기대이상! 가격과 연비빼곤 다 만족합니다 모드마다 다양한 주행감을 느낄수있습니다 강추합니다!!!,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,"승차감, 정숙성, 연비 다 좋고 빠지는게 없는 차량. 1년정도 탔지만 아직은 단점이랄거는 없는 것 같다. 주차하기 좀 빡센 거 정도?",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,"OM654 주철로 만든 엔진이라 연비, 정숙성이 일반적인 직분사 휘발유차량보다 우수함 에어서스펜션이 압권임... 장거리 주행시 피곤함이 거의 느껴지지 않을 정도",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,이 정도 크기의 성능을 가진 차는 패밀리카로 크개 부담스럽지않습니다. 연비도 좋고 또한 거주성이 너무 좋네요,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.5,일상주행에서 출력 충분하고 에어서스펜션으로 승차감 좋고 특히 연비가 덩치에 비해 아주 잘나와서 만족합니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,가격대비 성능과 연비등 가성비가 뛰어나지만 점검등의 서비스 요청에 시일이 오래걸려서 매우불편합니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,연비끝네주고 주행성능 굿입니다 아직까지 불편한것없고 하차감죽입니다 G00d,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,배기량이 작아서 고속주행시 차량이 잘 안나간다는 평가가 있던데 실제 주행에 보니 전혀 불편한거 없이 고속도로 다닙니다. 연비도 인터넷에 있는거 보다는 좀 더 높게 나오네요 현재까지는,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.83,어느하나 빠지지않고 연비에서 놀랍고 2열 좌석이 정말 넓어서 패밀리카 최고,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.17,사실 차에 대해서 모름 X5와 비교했을 때 가장 따져본 건 거주성. 좁은 느낌이 1도 없고 탁 틔인 실내가 가장 장점 주행성은 국산차와 비교해도 딱히 더 좋은 느낌은 없음 좋은 연비로 유지비가 적게 드는 게 개꿀,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,gle300d 차량인데 경유차라 많이 불편할줄 알았는데 차가좋네요 연비도 좋고 공간이 넓어서 캠핑가기에 좋아요 잘구매했네요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,디자인도 이쁘고 연비도 좋아요! 하이브리드리 전기 충전 만으로도 출퇴근이 가능해서 좋아요!,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,출고후 700km 정도 탔는데 복합연비가 예상외로 잘나옵니다. 타기나름인것 같습니다. 정숙성은 정말만족. 6기통 디젤 고급 스럽습니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,6.5,Gle450 시내연비 5-6키로 장거리 10-11키로 실내마감 gv80보다 떨어짐 가격 23년 1.3억 사악함 내차는 22년식인데 안드로이드 오토 풀화면안됨 차후 코딩으로 개선좀 해줬으면좋겠음 와이퍼 작동시 드럽게 시끄러움 내부 공간넓음 뒷자리 리클라이너 각도 너무 좁음 사이드미러 불편함 광각으로 교체추천 단점만 적어봤음,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,매우 만족하고 있습니다ᆢ 다만 벤츠의 고질적 문제인 와이퍼 소리가 매우심함,True,False
2026 메르세데스-벤츠 GLE 쿠페,7.5,중립 기어 안되는거 불편하고 종종 바퀴를 풀로 돌릴 때 덜컥 거리는 현상이 있는데 센터에서는 아무 문제 없다는게 이상해요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,22년식 gle350e 타고 있는데 mbux 자동으로 연동 안되서 조금 불편합니다 매번 선 연결해야되요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,"두달정도 운행 해봤는데 일단 디자인 적으로는 개취영역이라 패스하고 출퇴근, 주말 포함 매일타는데 한달에 전기로만 하니 할인받으니까 4만원 정도 나옴 장거리뛰어도 베터리 레벨 모드로 하게되면 연비 20걍넘음 4기통이라서 밟는 차는 아니지만 연비가 극강임. 승차감도 에어서스때문에 좋음 롤링 문제는 솔직히 suv는 다 있다고 생각함. 불규칙한 요철 아니면 승차감 개좋음 무튼 대만족 단점은 우드트림, 휠, 핸들 아쉽 ㅠㅠ",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,"3년동안 잔고장없이 탓고, 넓은 거주성과 정숙해서 패밀리카로 만족합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,연비 생각보다 괜찮음 외관 맘에 담 무슨 40자 이상을 적으라고 해,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,차값은 비싸지만 유지비는 싸게 들어요 연비가 가장 맘에 들어요 승차감도 좋던데...,True,False
2026 메르세데스-벤츠 GLE 쿠페,4.5,지금까지차중에 최악 차량 하자다수발생 수리해서 계속발생 외관 멋짐.승차감 고속 좋음 롤링심함 전반적으로 최악!!!,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,디젤답지 않은 정숙성과 뛰어난 주행성능에 이덩치에 연비는 놀랍습니다 22년식은 메모리시트는 빠졌지만 대신 그동안 아쉬웠던 옵션이 모두 들어가서 풀옵 완전체입니다 타이어도 20인치로 출고되어 웅장하고 벤츠다운 포스에 만족하고 타고 타닙니다 차 폭이 생각보다 너무 커서 주차적응하는데 시간이 좀 걸리고 셀프세차하기가 너무 힘듭니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,"디자인과 연비 내구성 다 좋아요 패밀리카로 사용하고 있는데, 만족합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,3.33,2021년 4월에 출고 받아서 그 다음날 출근시 시동켜고 출발하는데 사이드브레이크가 걸려있다가 풀리는 것처럼 덜컹하연서 출발하고 이런 현상이 계속 있어서 센터에 물어보니 차량 출력이 좋아서 그런거라며 이야기 함. 믿지 못할 설명. 1년 3개월 타다가 운행 불가할 정도의 변속 충격과 운행 중 충격에 수리를 맏겨서 4개월. 기다려 미션 교체하고 다시 운행중 3주도 안되어 다시 운행 불가 수준의 충격음으로 센터 입고. 후 지금 전체 수리 기간이 7개월 째. 이제는 엔진 이상이라며 또 마냥 기다리라고 함. 그 외 패밀리카로 구입 후 제일 불편한 것은 후방 좌석이 뒤로 젖힐 수 없는것과 각 좌석 헤드레스트가 거북목 유발하는 불편한 구조임. 디자인은 다른 차에 비해 잘 했다고 평가. 이 글을 쓰는 이 순간 수리 맡긴지 너무 오래되어 내차 번호판도 기억이 나지 않을 정도 새차 사서 그냥 내차는 쓰레기가 되어가고 있는 중입니다.ㅠ,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.5,승차감은 SUV치고는 좋은편이지만 아무래도 승용차랑은 비교되네요~~~차량가격과 연비는 다소 아쉽지만 그래도 나름 만족하고 있습니다. 패밀리카로는 손색이 없네요~~ 아직 아이가 없으시다면 쿠페도 좋을거 같습니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,6.17,"디자인을 제외 모든 것 평균 및 이하 시승식때 와는 잠깐 의 느낌이랑은 다른 느낌 실질적으로 직접 타보니 아쉬운 부분이 많음 가격 대비 가성, 사용 많이 부족 추천하고 싶지않음",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,"첫 외제차인데요 역시 벤츠는 벤츠네요 디자인, 연비, 주행능력 너무 맘에 듭니다",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,차 주행성능은 좋으나 현대차보다 인포메이션 및 음성인식 리모트파킹이 안되서 불편하네요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,외관은 그 어떤차보다 만족하고 집밥 가능한 하이브리드라 연비도 아주 만족하며 타는중입니다. 뒷자리는 조금 갑갑하네요,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,디자인 끝내줍니다 성능은.... 하이브리드라 부족함이 많지만 그대신 전기차 대용으로 최고입니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,전반적으로 만족합시다 가격은 아쉽지만 그래도 실내공간이나 연비도 나름선방하는느낌이네요 조용히 유유자적으로 타기엔 딱입니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,7.83,국산 몰다 한번에 amg 로 올렸는데 너무 만족합니다. 다만 이 가격대의 차에 핸들 열선이 없는게 좀 아쉽고 연비가 너무 헬입니다. amg 에 연비 생각하는 건 아니지만..,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.83,마일드하이브리드(MH) 이슈 및 소프트업그레이드 이후 MH 개입이 줄어든 것 같아 연비가 안 좋아진 느낌이 들고 있음. 하지만 현재 연비도 차 크기 대비 안 좋다고 할 수는 없기 때문에 만족하며 타고 있음. 후면디자인이 약간 마음에 안 들지만 쿠페가 아니므로 패스. 자잘하게 신경쓰이게 하는 부분이 있긴 하지만 결함 없이 지금까지는 아주 만족하고 타고 있음.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,집에 충전시설 있다면 시내주행시 사실상 순수전기차 단점 거의 없음 단 순수가솔린 모드시 연비는 좋다고 할 수는 없음,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,디자인 만점 연비 생각보다 좋음 주행감 좋음 여러 편의기능 좋음 차체 커서 주차 힘든거 빼고 대만족 차량,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,"넓은 실내공간, 우수한 연비, 디젤차임에도 조용한 편이고 떨림도 적어서, 패밀리카로는 여러모로 최고의 선택이 아닐까 생각합니다. 아쉬운 점은 마일드 하이브리드라서 그런지 저속 변속이 매끄럽지 못합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,연비 빼고는 모두 만족합니다. 최고 입니다. 가족들이 함께 타기에는 X5보다 좋습니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,디자인은 사실 좀 투박한거 같으나 연비가 워낙 좋고 품질이 확실히 우수합니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.0,차가 무거워 초반 가속이 느리고 연비가 좋지않지만 디자인과 브랜드 네임으로 커버가 됨.,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,가족이 타기에 부담없는 차입니다. 잔고장도 없고 주행품질도 맘에 듭니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.83,전기주행은 매우 정숙하고 승차감 부드러워 대만족. 그러나 가솔린엔진 개입시 디젤엔진처럼 엔진소음이 크게 들림. 디젤인가?,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.83,"거주성, 승차감이 좋아 고급스런 패밀리카를 원하시는 분들은 좋은 선택지가 될거에요. 덩치에 비해 연비도 만족스럽습니다. 고속주행 시 가속이 된 뒤에 파워는 좋지만, 시내 위주 주행시 변속될때의 변속충격이 있어 불편한 감은 있어요. 주행습관이 여유로우신분은 좋으실거고 빠른 반응을 원한다면 다른 차로 가세요. 잔고장은 없는 편 입니다. 아 뒷좌석 리클라이너 안되는게 제일 단점이네요!",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,"방지턱 지날때 공차중량이 너무 무거운게 느껴집니다. 연비가 안좋아요. 엔진 토크가 받쳐주니 일반, 고속에서 무거운지는 모르겠어요. 하차감 좋고 패밀리카로 좋습니다. 다만 여성이 주차할때 힘들어 합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,대부분 만족합니다만 초기 모델이라서 옵션이 부족한것이 아쉽네요 디자인은 최강이네요,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,4기통이라는 아쉬운점이있지만 패밀리카목적에 맞게 사용한다면 전혀 부족함이없는차,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.5,아이두명 키우며 패밀리카로 쓰기에 최고입니다! 마일드하이브리드 적용으로 생각보다 연비도 괜찮구요. 다만 오프로드 옵션 적용 안한게 아쉽네요 ㅠㅠ,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.83,48V MHEV적용으로 초반 가속도 디젤치고는 좋아졌으며 정숙합니다. 실내공간 넓고 연비도 좋은 편이고 일부 옵션 빠진것은 아깝지만 소프트클로징이나 공기청정기 등 옵션은 패밀리 SUV로는 빠지는 점이 없습니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.67,19년식 깡통 이라 옵션 부족함이 있지만 에어서스 만족하고탐 안정적임 디젤 소리는 안타깝지만 어쩔 수 없음 저단에서 미견 조금 바보됨 우웅우웅 브랜드+ 묵직함 + 승차감으로 타고다님,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,"주행 성능, 연비, 디자인, 실용성, 품질, 감성, 브랜드밸류 모두 만점 입니다! 최고!",True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,쌍둥이이라 뒷좌석 카시트 두개 넣고 가운데 사람이 앉을 수 있을정도로 넓고 편안합니다. 패밀리카라 치고 나갈 일없어 충분히 만족. 잘가고 잘서고 반도체 문제로 옵션 빠진거 빼곤 최고의 선택이라 생각함,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,전부 맘에 드는데... 뽑기 문제일까 짜잘짜잘한 품질 문제가 가끔 나옴... 서비스 받는데 예약하고 2~3주 걸림...,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,"주행성, 편안함, 연비(구입 후 1.5달 정도, 2200km 주행 기준 평균 연비 13.5 정도 유지중) 만족 등 전반적 만족합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,볼수록 디자인도 과하지 않게 간결하고 연비도 좋습니다. 주행감도 부드러워 가족차로 추천합니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,편안하고 넉넉한 공간 다만 와이퍼 소음같은 문제는 아직 해결하지 못한 문제 연비는 고속에서 매우 좋은편이며 차가 조금 높아서 세차시에는 조금 불편함,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.33,에어서스펜션으로 승차감이 좋고 마일드 하이브리드로 연비가 포르쉐 카이엔보다 다소 좋음,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,"디자인, 출력, 상능, 제원, 연비 ,승차감,AS 모든 면에서 만족합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,8.5,벤츠는 벤츠입니다. 스포츠성은 떨어집니다. e220d에 비해 체감연비 4-5정도 떨어집니다. 그외 다 좋습니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,연비좋고 디자인좋고 거주공간 좋음. 단점은 벤츠 고질병인 와이퍼.. 운전석 미러.. 미러는 반드시 바꿔야합니다.,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,이제 6000키로 넘었는데 너무 만족 합니다 제일 마음에드는건 연비디자인 그리고 편의 시설,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,무사고차량에 as기간도 많이남아있고 흠집하나없으며 연비또한 완전우수합니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,대체적으로 모두 만족합니다. 연비도 괜찮고 승차감도 괜찮고... 패밀리카로 대만족합니다.ㅎㅎ,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,전반적으로 만족합니다. 연비 주행 승차감 스피커 모두 만족. 특히 전기모드와 스피커 대박입니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.83,평타이상의 속도감과 안정성은 정말 극히 자랑하고 싶네요 연비좋고 주행성 좋고,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,"와이프와 아이들이 좋아하는 차입니다. 연비는 10 ~ 11km/l 입니다. 초기 가속은 조금 느려서 적응이 필요하지만, 고속 주행 안정성은 정말 우수합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,9.17,디젤 4기통 딸딸이긴하지만 48V 마이일드하이브리드 시스템 장착으로 출발시 부드럽고 장거리연비는 15km이상 나오지만 1억이 넘는 사악한 가격과 구입시오랜대기가 필요함,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.67,"애기가 태어나서 와이프에게 선물로 사주었는데, SUV를 개인적으로 싫어하는 사람으로써 감안해도 높은 점수를 주게되네요 총주행거리 1만키로, 1년 탔습니다. 연비는 언제 기름 넣었는지도 까먹을정도이니, 좋습니당",True,False
2026 메르세데스-벤츠 GLE 쿠페,8.33,만족도가 매우높습니다 디자인 이쁘구요연비는 매우 좋지안습니다. 주행성능은 굉장히 스포티합니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.33,모든면에 만족합니다~~ 조용하고 연비도 잘 나옵니다 패밀리카로 추천합니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,마지막 디젤이라 소음진동연비 우수하고 풀옵션 수준이라 좋습니다 무게가 있어 초반굼뜸 제외하고 모두 우수!,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.5,전기차시대로 넘어가기전 마지막단계입니다 연비는짱짱하고 디자인멋지고 매우만족하고있습니다 전기gv70풀옵9400생각하니 차값도저렴한것같네요 디자인가성비 유지비모두잡은팔방미인형차량입니다 스포츠성생각하시면x6으로가세요ㅎ,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.0,GLE450 나이트패키지 브라운시트 주행성능과 정숙성은 최고이며 내부공간역시 매우 만족스럽습니다 약간은 높은가격대와 연비를 제외하곤 최고의 패밀리카인듯합니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,10.0,쾌적하고 승차감좋고 편안해서 거실소파같은 느낌입니다. 장거리에도 피곤하지않아요. 너무 편안해서 꿀잠. 소음거의없고 suv로는 최고의 선택,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.5,스포츠성에 목적이 있는 차가 아닙니다 스포츠성을 따지신다면 x5 40i 또는 53AMG로 알아보시길 추천드리고요 준대형 사이즈임에도 2000cc+모터로 만족할만한 운동성능과 편안한 주행감을 보여주고요 게다가 고유가 시대에 높은 연비가 최대 장점입니다 고급유만 넣고 다녀도 크게 부담이 없네요 나머지는 벤츠 두글자로 평가 하겠습니다,True,False
2026 메르세데스-벤츠 GLE 쿠페,9.67,너무 좋네요 충전환경만 좋으면 연비도 짱입니다~~~ 하이브리드 젤리쿱 짱,True,False
2026 메르세데스-벤츠 GLE 쿠페,8.5,"편안한 가족 차량입니다. 마일드하이브리드로 터보 렉도 없고, 성능도 우수하지만 차 넓이가 넓어서 주차시나 좁은길을 갈때는 많이 조심해야 합니다.",True,False
2026 메르세데스-벤츠 GLE 쿠페,7.17,주행의 부드러움은 장점 그러나 스포츠성은 떨어짐. 승차감도 부드러움에 가까우며 스포츠성은 떨어짐. 디자인은 만족스러우나 가격에 비해서 인테리어 가죽이나 헤드라이너 품질이 떨어짐. 연비는 시내주행 5km 내외 고속주행 10km 내외,True,False
